U.S. Census Bureau, Trade in Goods with Canada. Figures in millions of U.S. dollars, nominal, not seasonally adjusted. Saved from census.gov/foreign-trade/balance/c1220.html.
January 2009	14,733.6	17,553.0	-2,819.4
February 2009	15,507.6	17,262.1	-1,754.5
March 2009	16,924.4	17,894.9	-970.4
April 2009	16,151.1	17,211.2	-1,060.1
May 2009	16,090.4	16,398.8	-308.4
June 2009	16,817.1	18,549.5	-1,732.4
July 2009	16,453.5	18,763.4	-2,309.9
August 2009	17,638.8	19,230.3	-1,591.5
September 2009	18,392.1	19,912.7	-1,520.5
October 2009	18,830.7	21,229.2	-2,398.5
November 2009	18,586.1	20,395.5	-1,809.3
December 2009	18,532.6	21,848.1	-3,315.5
TOTAL 2009	204,658.0	226,248.4	-21,590.5
January 2008	20,485.6	27,359.1	-6,873.5
February 2008	21,255.8	27,499.0	-6,243.2
March 2008	22,978.2	29,968.0	-6,989.8
April 2008	23,463.8	31,232.6	-7,768.8
May 2008	24,386.5	30,270.8	-5,884.3
June 2008	23,741.4	31,285.3	-7,544.0
July 2008	22,325.4	32,208.4	-9,883.0
August 2008	22,075.6	29,994.4	-7,918.8
September 2008	22,294.2	29,653.6	-7,359.3
October 2008	22,058.7	27,707.3	-5,648.5
November 2008	19,172.4	22,602.9	-3,430.5
December 2008	16,912.2	19,710.0	-2,797.8
TOTAL 2008	261,149.8	339,491.4	-78,341.6
January 2007	17,803.6	25,114.8	-7,311.2
February 2007	18,334.5	23,678.8	-5,344.3
March 2007	22,006.8	27,237.6	-5,230.8
April 2007	20,219.8	26,083.9	-5,864.1
May 2007	21,792.6	26,920.1	-5,127.5
June 2007	21,767.5	27,837.4	-6,069.9
July 2007	18,772.0	24,609.6	-5,837.6
August 2007	21,379.0	26,902.8	-5,523.8
September 2007	21,055.0	26,390.7	-5,335.8
October 2007	23,299.7	28,714.4	-5,414.7
November 2007	22,652.1	28,010.5	-5,358.4
December 2007	19,805.8	25,556.2	-5,750.5
TOTAL 2007	248,888.1	317,056.8	-68,168.6
January 2006	17,261.1	25,965.9	-8,704.8
February 2006	17,930.9	23,750.0	-5,819.1
March 2006	21,153.3	26,477.7	-5,324.3
