period,exports_usd_millions,imports_usd_millions,balance_usd_millions
February 1987,4762.8,5929.3,-1166.5
March 1987,5258.9,5986.0,-727.1
April 1987,4928.3,5814.4,-886.1
May 1987,5055.1,5916.0,-860.9
June 1987,5605.7,6100.8,-495.1
July 1987,4715.0,5321.9,-606.9
August 1987,4165.8,5069.0,-903.2
September 1987,4844.7,6094.7,-1250.0
October 1987,5273.1,6573.0,-1299.9
November 1987,5511.8,6723.1,-1211.3
December 1987,5540.8,6126.8,-586.0
TOTAL 1987,59814.3,71084.9,-11270.6
January 1986,3999.1,5680.7,-1681.6
February 1986,3786.0,5659.5,-1873.5
March 1986,3659.2,5922.9,-2263.7
April 1986,4057.3,5821.1,-1763.8
May 1986,3780.9,5922.5,-2141.6
June 1986,3857.5,5711.7,-1854.2
July 1986,3172.4,5475.6,-2303.2
August 1986,3094.7,5224.8,-2130.1
September 1986,4119.4,5571.6,-1452.2
October 1986,4175.9,5719.0,-1543.1
November 1986,3911.1,6681.4,-2770.3
December 1986,3719.0,4861.9,-1142.9
TOTAL 1986,45332.5,68252.7,-22920.2
January 1985,3779.6,5319.1,-1539.5
February 1985,3706.6,5548.5,-1841.9
March 1985,4246.2,6075.3,-1829.1
April 1985,4171.7,5976.2,-1804.5
May 1985,4467.5,6041.7,-1574.2
June 1985,4570.5,6291.8,-1721.3
July 1985,3720.9,5073.1,-1352.2
August 1985,3502.0,4813.7,-1311.7
September 1985,4030.0,6153.8,-2123.8
October 1985,4085.3,6077.9,-1992.6
November 1985,3695.7,5695.6,-1999.9
December 1985,3275.0,5939.7,-2664.7
TOTAL 1985,47251.0,69006.4,-21755.4
